PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Pulmologija,2399,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra pulmologije,Javno
,120,Međunarodni program košarke i menadžmenta (International Basketball Coaching and Management),2402,sveučilišni,diplomski sveučilišni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,2,SPLIT,engleski jezik,združeni studij,,Javno
,240,Ekonomija (Bachelor Degree in Economics),2403,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,4,ZAGREB,engleski jezik,klasično,,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Ekonomija (na engleskom jeziku),2404,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,klasično,magistar/magistra ekonomije,Javno
,180,Povijest,2405,sveučilišni,poslijediplomski sveučilišni studiji,"Hrvatsko katoličko sveučilište, Zagreb","Hrvatsko katoličko sveučilište, Zagreb",3,ZAGREB,hrvatski jezik,klasično,,Privatno 
,180,"Sociologija: vrijednosti, identitet i društvene promjene u hrvatskome društvu",2406,sveučilišni,poslijediplomski sveučilišni studiji,"Hrvatsko katoličko sveučilište, Zagreb","Hrvatsko katoličko sveučilište, Zagreb",3,ZAGREB,hrvatski jezik,klasično,,Privatno 
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,120,Informacijska sigurnost i digitalna forenzika ,2408,stručni,specijalistički diplomski stručni studij,Tehničko veleučilište u Zagrebu,Tehničko veleučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica inženjer/inženjerka informacijske sigurnosti i digitalne forenzike,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,300,"Vojno pomorstvo; smjerovi: Vojna nautika, Vojno brodostrojarstvo ",2410,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,"Pomorski fakultet, Split ",Sveučilište u Splitu,5,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka vojnog pomorstva,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,300,"Vojno pomorstvo; smjerovi: Vojna nautika, Vojno brodostrojarstvo ",2410,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,Filozofski fakultet u Splitu,Sveučilište u Splitu,5,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka vojnog pomorstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Vaskularna kirurgija ,2411,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra vaskularne kirurgije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Abdominalna kirurgija ,2412,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra abdominalne kirurgije,Javno
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,120,Rani i predškolski odgoj i obrazovanje ,2414,sveučilišni,diplomski sveučilišni studij,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/ magistra ranog i predškolskog odgoja i obrazovanja,Javno
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,120,Rani i predškolski odgoj i obrazovanje ,2415,sveučilišni,diplomski sveučilišni studij,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/ magistra ranog i predškolskog odgoja i obrazovanja,Javno
2.11.  TEHNIČKE ZNANOSTI / Strojarstvo,120,Strojarstvo ,2416,sveučilišni,diplomski sveučilišni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",2,KOPRIVNICA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka strojarstva,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,Graditeljstvo ,2417,sveučilišni,diplomski sveučilišni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",2,KOPRIVNICA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka građevinarstva,Javno
2.06.  TEHNIČKE ZNANOSTI / Grafička tehnologija,120,Multimedija,2418,sveučilišni,diplomski sveučilišni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",2,KOPRIVNICA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka  grafičke tehnologije,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,180,Kineziologija; smjer: Kondicijska priprema sportaša,2421,stručni,preddiplomski stručni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično; on-line studij,stručni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kineziologije,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,180,Kineziologija; smjer: Sportski trener,2423,stručni,preddiplomski stručni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično; on-line studij,stručni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kineziologije,Javno
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,60,Upravljanje projektima,2425,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike i računarstva, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni specijalist upravljanja projektima,Javno
