PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
1.02.  PRIRODNE ZNANOSTI / Fizika,180,Fizika,205,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Osijeku - Odjel za fiziku,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) fizike,Javno
8.02.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Geografija,90,Geografija (dvopredmetni),206,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) geografije,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",180,Montaža,208,sveučilišni,preddiplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) montaže ,Javno
8.02.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Geografija,180,Geografija; smjer: istraživački,209,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) geografije,Javno
1.04.  PRIRODNE ZNANOSTI / Kemija,180,Kemija,210,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kemije,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",180,Snimanje,211,sveučilišni,preddiplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) snimanja ,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Matematika,212,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Rijeci - Odjel za matematiku,Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) matematike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,"Matematika; smjer: matematički, računarski, primijenjena matematika",214,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) matematike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,"Matematika i informatika, smjer: nastavnički",215,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  matematike i informatike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Matematika i fizika,216,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) matematike i fizike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Matematika,217,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) matematike,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",180,Produkcija,218,sveučilišni,preddiplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) produkcije,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Matematika; smjer: nastavnički,219,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  edukacije matematike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Informatika,221,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  informatike,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,180,Informatika i tehnika,222,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Split",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  informatike i tehnike,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,180,Dizajn,223,sveučilišni,preddiplomski sveučilišni studij,"Arhitektonski fakultet, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) dizajna ,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,180,Likovna kultura i likovna umjetnost,224,sveučilišni,preddiplomski sveučilišni studij,"Umjetnička akademija, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) likovne kulture i likovne umjetnosti,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,240,Solo pjevanje,225,sveučilišni,preddiplomski sveučilišni studij,"Umjetnička akademija, Split ",Sveučilište u Splitu,4,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike,Javno
1.03.  PRIRODNE ZNANOSTI / Geologija,180,Geologija,226,sveučilišni,preddiplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) geologije,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,240,Crkvena glazba (Institut za crkvenu glazbu A. Vidaković),227,sveučilišni,preddiplomski sveučilišni studij,"Katolički bogoslovni fakultet, Zagreb",Sveučilište u Zagrebu,4,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,180,Sanitarno inženjerstvo,229,sveučilišni,preddiplomski sveučilišni studij,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  sanitarnog inženjerstva,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,240,Gitara,231,sveučilišni,preddiplomski sveučilišni studij,"Umjetnička akademija, Split ",Sveučilište u Splitu,4,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,180,Prehrambena tehnologija,232,sveučilišni,preddiplomski sveučilišni studij,"Prehrambeno-tehnološki fakultet, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prehrambene tehnologije,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,180,Prehrambena tehnologija,233,sveučilišni,preddiplomski sveučilišni studij,Prehrambeno-biotehnološki fakultet,Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prehrambene tehnologije,Javno
4.04.  BIOTEHNIČKE ZNANOSTI / Biotehnologija,180,Biotehnologija,234,sveučilišni,preddiplomski sveučilišni studij,Prehrambeno-biotehnološki fakultet,Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka biotehnologije,Javno
4.06.  BIOTEHNIČKE ZNANOSTI / Nutricionizam,180,Nutricionizam,235,sveučilišni,preddiplomski sveučilišni studij,Prehrambeno-biotehnološki fakultet,Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) nutricionizma,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,180,Šumarstvo,236,sveučilišni,preddiplomski sveučilišni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka šumarstva,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,180,"Urbano šumarstvo, zaštita prirode i okoliša",237,sveučilišni,preddiplomski sveučilišni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka urbanog šumarstva, zaštite prirode i okoliša",Javno
4.03.  BIOTEHNIČKE ZNANOSTI / Drvna tehnologija,180,Drvna tehnologija,238,sveučilišni,preddiplomski sveučilišni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka drvne tehnologije,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Primijenjena ekologija mora ,239,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,3,DUBROVNIK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka akvakulture,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Biologija i tehnologija mora ,240,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu Sveučilišni odjel za studije mora,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka biologije i tehnologije mora,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,"Poljoprivreda; smjerovi: Agroekonomika, Bilinogojstvo, Mehanizacija, Zootehnika, Hortikultura",243,sveučilišni,preddiplomski sveučilišni studij,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka agronomije,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Agrarna ekonomika,246,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka agrarne ekonomike,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Agroekologija,247,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka agroekologije,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Animalne znanosti,248,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka animalnih znanosti,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Biljne znanosti,249,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka biljnih znanosti,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Ekološka poljoprivreda,250,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka ekološke poljoprivrede,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Hortikultura,251,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka hortikulture,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Krajobrazna arhitektura,252,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka krajobrazne arhitekture,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Poljoprivredna tehnika,253,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka poljoprivredne tehnike,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Fitomedicina,254,sveučilišni,preddiplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka fitomedicine,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Ekonomija,255,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,"Poslovna ekonomija; smjerovi: Financije i računovodstvo, Poduzetništvo, Menadžment, Financije i bankarstvo, Marketing, Međunarodno poslovanje, Informatičko poslovanje",256,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično; on-line studij,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,"Poslovna ekonomija; smjerovi: Financije i računovodstvo, Poduzetništvo, Menadžment, Financije i bankarstvo, Marketing, Međunarodno poslovanje, Informatičko poslovanje",256,sveučilišni,preddiplomski sveučilišni studij,"Sveučilište VERN, Zagreb",Sveučilište u Rijeci,3,ZAGREB,hrvatski jezik,klasično; on-line studij,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,240,"Poslovna ekonomija u turizmu i ugostiteljstvu; smjerovi: Poduzetništvo u turizmu i ugostiteljstvu, Menadžment u turizmu; Menadžment u hotelijerstvu; Međunarodni menadžment u turizmu i ugostiteljstvu; Menadžment događaja i slobodnog vremena",257,sveučilišni,preddiplomski sveučilišni studij,"Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija ",Sveučilište u Rijeci,4,OPATIJA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,"Poslovna ekonomija; smjerovi: Financijski management, Marketinško upravljanje, Management i poduzetništvo, Turizam, Informatički menadžment ",258,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Ekonomija,259,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Turizam,261,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Ekonomija,262,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Poslovna ekonomija,263,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Menadžment,264,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Ekonomska politika i regionalni razvitak,266,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Financijski menadžment,267,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Marketing,268,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Menadžment,269,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Poslovna informatika,270,sveučilišni,preddiplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,Ekonomija,272,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,3,DUBROVNIK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,180,"Poslovna ekonomija; smjerovi: Turizam, Marketing, Međunarodna trgovina, IT menadžment",273,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,3,DUBROVNIK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) poslovne ekonomije,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,180,Dizajn vizualnih komunikacija,274,sveučilišni,preddiplomski sveučilišni studij,"Umjetnička akademija, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) dizajna vizualnih komunikacija,Javno
5.12.  DRUŠTVENE ZNANOSTI / Socijalne djelatnosti,240,Socijalni rad,275,sveučilišni,preddiplomski sveučilišni studij,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,4,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) socijalnog rada,Javno
5.03.  DRUŠTVENE ZNANOSTI / Politologija,240,Politologija,276,sveučilišni,preddiplomski sveučilišni studij,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,4,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) politologije,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Novinarstvo,277,sveučilišni,preddiplomski sveučilišni studij,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) novinarstva,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Mediji i kultura društva,278,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,3,DUBROVNIK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) novinarstva i odnosa s javnostima,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,180,Kultura i turizam,279,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kulture i turizma,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Informacijske znanosti (jednopredmetni),280,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/ prvostupnica baccalaureus/baccalaurea informacijskih znanosti,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Informatologija,281,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) informatologije,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Informacijske znanosti,282,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) informacijskih znanosti,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Informacijski sustavi,283,sveučilišni,preddiplomski sveučilišni studij,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,3,VARAŽDIN,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) informatike,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Poslovni sustavi,284,sveučilišni,preddiplomski sveučilišni studij,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,3,VARAŽDIN,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) informatike,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,180,Komunikologija (jednopredmetna),286,sveučilišni,preddiplomski sveučilišni studij,"Fakultet hrvatskih studija, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) komunikologije ,Javno
5.05.  DRUŠTVENE ZNANOSTI / Sociologija,180,Sociologija,287,sveučilišni,preddiplomski sveučilišni studij,Filozofski fakultet u Splitu,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  sociologije,Javno
5.05.  DRUŠTVENE ZNANOSTI / Sociologija,90,Sociologija (dvopredmetni),288,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  sociologije,Javno
5.06.  DRUŠTVENE ZNANOSTI / Psihologija,180,Psihologija (jednopredmetni),291,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) psihologije,Javno
5.06.  DRUŠTVENE ZNANOSTI / Psihologija,180,Psihologija,292,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) psihologije,Javno
5.06.  DRUŠTVENE ZNANOSTI / Psihologija,180,Psihologija,293,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) psihologije,Javno
5.06.  DRUŠTVENE ZNANOSTI / Psihologija,180,Psihologija,294,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) psihologije,Javno
